area	amenities	floors	bedrooms	bathrooms	property_type	selling_type	road_size	road_type	location_two
18.0	5	2.5	5.0	5.0	2.0	1.0	15.0	19.0	4.0
4.25	4	2.5	5.0	5.0	2.0	1.0	14.0	19.0	4.0
16.0	4	2.5	2.5	2.5	0.0	1.0	20.0	19.0	15.0
5.0	6	2.5	5.0	4.0	2.0	0.0	20.0	19.0	17.0
8.0	7	2.5	2.5	2.5	2.0	1.0	12.0	19.0	15.0
4.0	6	2.5	2.5	2.5	2.0	1.0	12.0	22.0	25.0
5.0	9	2.5	6.0	3.0	2.0	0.0	20.0	20.0	17.0
16.0	6	3.5	2.5	2.5	2.0	1.0	20.0	20.0	15.0
3.0	4	2.5	2.5	2.5	2.0	1.0	13.0	19.0	21.0
7.5	6	2.5	2.5	2.5	2.0	1.0	14.0	20.0	4.0
4.25	7	2.5	2.5	2.5	2.0	1.0	12.0	19.0	4.0
2.8125	4	2.5	2.5	2.0	2.0	1.0	20.0	19.0	14.0
16.0	8	3.0	5.0	5.0	2.0	1.0	18.0	21.0	17.0
5.5	7	3.0	5.0	2.5	2.0	1.0	13.0	21.0	4.0
7.0	4	2.5	4.0	2.5	2.0	1.0	12.0	21.0	4.0
5.5	7	2.5	4.0	2.5	2.0	1.0	20.0	19.0	11.0
11.0	6	2.5	6.0	4.0	2.0	1.0	14.0	19.0	24.0
4.0	10	2.5	5.0	4.0	2.0	0.0	14.0	19.0	17.0
6.375	6	2.5	3.0	4.0	2.0	1.0	12.0	19.0	27.0
4.75	5	2.0	5.0	4.0	2.0	0.0	20.0	19.0	17.0
3.0	4	2.5	4.0	4.0	2.0	0.0	10.0	19.0	17.0
6.75	5	3.5	7.0	2.5	2.0	1.0	20.0	19.0	15.0
5.0	5	3.5	2.5	2.5	2.0	1.0	10.0	21.0	17.0
3.0	5	2.5	2.5	2.0	2.0	1.0	13.0	19.0	6.0
8.25	6	4.0	8.0	2.5	2.0	1.0	12.0	19.0	12.0
4.0	4	2.5	6.0	4.0	2.0	1.0	14.0	22.0	15.0
4.0	5	3.0	2.5	2.5	2.0	1.0	22.0	21.0	15.0
3.5	3	2.5	5.0	2.5	2.0	1.0	10.0	19.0	25.0
10.0	10	2.5	3.0	4.0	2.0	0.0	12.0	19.0	17.0
4.0	4	2.5	6.0	4.0	2.0	1.0	14.0	22.0	4.0
3.0	6	2.5	2.5	2.5	2.0	1.0	13.0	22.0	4.0
5.0	5	2.5	7.0	5.0	2.0	1.0	22.0	19.0	27.0
48.0	7	2.5	8.0	2.5	2.0	0.0	12.0	19.0	17.0
6.0	4	2.5	6.0	2.5	2.0	1.0	20.0	19.0	17.0
6.0	8	7.0	2.5	2.5	0.0	0.0	20.0	19.0	15.0
4.0	5	2.5	2.5	2.5	2.0	1.0	12.0	19.0	21.0
2.75	5	2.0	3.0	3.0	2.0	0.0	12.0	19.0	19.0
4.5	6	3.5	2.5	2.5	2.0	1.0	12.0	21.0	4.0
4.0	4	2.5	2.5	2.5	2.0	1.0	13.0	22.0	4.0
3.75	4	2.0	2.5	2.5	2.0	1.0	13.0	22.0	4.0
5.0	5	2.5	2.5	2.5	2.0	1.0	14.0	19.0	15.0
24.0	6	2.5	2.5	2.5	2.0	0.0	22.0	19.0	4.0
5.5	5	2.5	4.0	4.0	2.0	1.0	20.0	19.0	17.0
30.0	6	4.5	2.5	2.5	2.0	0.0	20.0	19.0	21.0
30.0	5	5.0	2.5	2.5	0.0	0.0	20.0	19.0	15.0
80.0	8	2.5	6.0	2.5	2.0	0.0	24.0	19.0	15.0
11.0	7	2.5	4.0	5.0	2.0	1.0	15.0	21.0	4.0
8.5	5	3.5	6.0	7.0	2.0	1.0	12.0	21.0	21.0
5.25	4	2.5	5.0	6.0	2.0	1.0	13.0	19.0	4.0
4.0	4	2.5	7.0	4.0	2.0	1.0	13.0	22.0	21.0
24.0	6	2.0	7.0	6.0	2.0	0.0	15.0	19.0	17.0
9.0	7	2.0	4.0	4.0	2.0	0.0	13.0	19.0	15.0
3.0	5	2.5	2.5	2.5	2.0	1.0	12.0	20.0	6.0
5.25	5	2.5	5.0	5.0	0.0	0.0	15.0	19.0	11.0
9.25	0	2.5	2.5	2.5	0.0	1.0	26.0	22.0	21.0
5.9375	7	3.0	15.0	4.0	2.0	1.0	10.0	20.0	21.0
3.0	3	2.5	2.5	2.5	2.0	1.0	12.0	20.0	19.0
2.75	4	1.0	4.0	2.5	2.0	1.0	13.0	20.0	10.0
2.75	3	2.5	2.5	2.5	2.0	1.0	15.0	19.0	17.0
3.0	5	1.0	2.5	2.5	2.0	1.0	12.0	20.0	19.0
3.0	6	2.5	2.5	2.5	2.0	1.0	16.0	20.0	14.0
2.5	5	2.5	2.5	2.5	2.0	1.0	12.0	20.0	19.0
4.0	5	2.5	2.5	2.5	2.0	1.0	12.0	20.0	19.0
14.0	0	2.5	2.5	2.5	2.0	1.0	26.0	22.0	21.0
3.25	4	2.5	2.5	2.5	2.0	1.0	9.0	22.0	21.0
23.0	8	2.5	7.0	5.0	2.0	0.0	12.0	22.0	15.0
7.0	4	2.0	4.0	4.0	2.0	0.0	15.0	19.0	17.0
3.0	5	2.5	2.5	2.5	2.0	1.0	10.0	19.0	21.0
3.0	4	4.5	2.5	2.5	0.0	0.0	15.0	19.0	15.0
12.0	9	2.5	6.0	3.0	2.0	1.0	12.0	19.0	15.0
32.0	12	2.0	3.0	3.0	2.0	0.0	12.0	19.0	15.0
6.5	4	3.0	4.0	3.0	2.0	1.0	13.0	19.0	4.0
4.0	5	2.5	2.5	2.5	2.0	1.0	13.0	19.0	4.0
3.75	4	2.5	6.0	4.0	2.0	1.0	13.0	19.0	17.0
3.25	7	2.5	2.5	2.5	2.0	1.0	32.0	21.0	4.0
4.0	8	3.0	2.5	2.5	2.0	1.0	20.0	21.0	14.0
4.0	4	2.5	5.0	4.0	2.0	1.0	12.0	22.0	17.0
6.5	4	2.5	6.0	6.0	2.0	1.0	10.0	22.0	4.0
5.0	10	2.5	2.5	2.5	2.0	1.0	13.0	19.0	4.0
3.1875	6	3.5	8.0	4.0	2.0	1.0	13.0	19.0	18.0
2.5	5	2.5	2.5	3.0	2.0	1.0	12.0	22.0	14.0
3.5	4	2.5	3.0	2.5	2.0	0.0	13.0	19.0	21.0
13.0	5	2.0	2.5	2.5	2.0	1.0	20.0	19.0	6.0
3.0	7	3.0	7.0	3.0	2.0	1.0	13.0	9.0	14.0
3.0	5	2.5	3.0	4.0	2.0	0.0	14.0	19.0	17.0
3.25	10	3.0	5.0	4.0	2.0	1.0	13.0	19.0	17.0
4.0	9	2.5	4.0	4.0	2.0	1.0	13.0	19.0	17.0
5.25	5	3.0	3.0	2.5	2.0	1.0	26.0	19.0	6.0
3.125	4	2.5	2.5	2.5	2.0	1.0	12.0	19.0	15.0
7.0	8	2.5	5.0	2.0	2.0	1.0	20.0	19.0	19.0
7.0	7	2.5	6.0	4.0	2.0	1.0	13.0	19.0	21.0
2.5	5	3.5	1.0	4.0	0.0	1.0	32.0	19.0	15.0
4.8125	4	2.0	3.0	3.0	2.0	0.0	20.0	19.0	17.0
4.0	7	3.5	5.0	4.0	2.0	1.0	10.0	19.0	21.0
3.0	4	2.0	5.0	4.0	2.0	1.0	12.0	19.0	17.0
5.0	4	2.5	5.0	2.5	2.0	1.0	20.0	19.0	17.0
4.25	4	3.0	2.5	2.5	2.0	1.0	13.0	22.0	4.0
1.75	8	2.5	7.0	4.0	2.0	1.0	12.0	21.0	17.0
8.75	6	2.5	2.5	2.5	2.0	1.0	12.0	21.0	4.0
18.0	8	2.5	6.0	5.0	2.0	1.0	20.0	19.0	17.0
3.0	9	2.5	5.0	3.0	2.0	1.0	13.0	19.0	19.0
8.8125	5	2.5	6.0	2.5	2.0	1.0	12.0	19.0	21.0
16.0	7	2.5	5.0	4.0	2.0	0.0	13.0	19.0	4.0
10.0	5	4.5	13.0	9.0	2.0	1.0	13.0	19.0	17.0
9.0	4	2.0	6.0	2.0	2.0	0.0	16.0	19.0	15.0
16.0	7	2.0	3.0	4.0	2.0	0.0	20.0	19.0	4.0
24.0	6	2.5	5.0	3.0	2.0	0.0	13.0	19.0	17.0
3.5625	6	2.5	6.0	2.0	2.0	1.0	13.0	19.0	21.0
18.0	4	2.5	2.5	2.5	2.0	0.0	12.0	19.0	15.0
5.0	8	2.0	5.0	2.0	2.0	1.0	5.0	19.0	6.0
3.5	6	3.0	8.0	4.0	2.0	1.0	9.0	21.0	15.0
3.25	3	2.0	2.5	2.5	2.0	1.0	5.0	21.0	6.0
6.5	3	3.0	2.5	2.5	2.0	1.0	13.0	20.0	7.0
18.0	4	2.5	5.0	4.0	2.0	1.0	13.0	19.0	4.0
4.0	4	2.5	5.0	4.0	2.0	1.0	12.0	22.0	21.0
10.0	5	3.0	6.0	2.5	2.0	1.0	13.0	19.0	15.0
4.375	7	2.5	4.0	2.5	2.0	1.0	16.0	20.0	21.0
4.375	4	3.0	7.0	6.0	2.0	0.0	20.0	19.0	17.0
4.5	7	2.5	4.0	3.0	2.0	1.0	16.0	19.0	21.0
7.451507669200001	4	5.0	2.5	2.5	0.0	1.0	30.0	19.0	9.0
15.0	4	7.0	2.5	2.5	0.0	1.0	10.0	19.0	15.0
5.5	0	2.5	2.5	2.5	0.0	1.0	13.0	19.0	6.0
7.451507669200001	6	2.0	5.0	4.0	2.0	1.0	20.0	19.0	2.0
8.5	7	3.0	7.0	2.5	2.0	1.0	13.0	21.0	6.0
8.5	6	3.0	2.5	2.5	2.0	1.0	20.0	19.0	15.0
5.125	10	2.5	5.0	2.5	2.0	1.0	13.0	19.0	21.0
4.5	8	2.5	5.0	4.0	2.0	1.0	18.0	21.0	17.0
3.5	6	2.5	2.5	2.5	2.0	1.0	10.0	21.0	6.0
5.0	11	2.5	2.5	2.5	2.0	1.0	13.0	21.0	4.0
3.5	13	2.0	3.0	3.0	2.0	1.0	16.0	19.0	17.0
4.0	7	2.0	4.0	3.0	2.0	1.0	20.0	19.0	14.0
3.25	8	2.5	2.5	2.5	2.0	1.0	32.0	19.0	4.0
18.5	4	2.5	9.0	6.0	2.0	0.0	20.0	19.0	17.0
2.5	4	1.0	2.0	2.5	2.0	1.0	10.0	20.0	21.0
3.5625	11	2.5	5.0	2.5	2.0	1.0	10.0	20.0	12.0
3.25	8	2.0	2.5	2.5	2.0	1.0	20.0	22.0	18.0
9.0	20	2.5	2.5	2.5	2.0	1.0	10.0	20.0	27.0
2.5	7	2.5	2.0	2.5	2.0	1.0	4.0	22.0	21.0
54.125	5	2.0	4.0	4.0	2.0	0.0	13.0	19.0	17.0
3.25	4	2.5	2.5	2.5	2.0	1.0	10.0	19.0	6.0
4.0	4	2.5	2.5	2.5	2.0	1.0	13.0	19.0	15.0
33.0148298056	7	3.0	6.0	3.0	2.0	1.0	13.0	19.0	21.0
3.5	0	3.5	2.5	2.5	2.0	1.0	10.0	19.0	14.0
4.5	5	2.5	4.0	3.0	2.0	1.0	20.0	19.0	21.0
6.0	8	2.5	5.0	3.0	2.0	0.0	20.0	19.0	17.0
3.5	7	2.5	6.0	4.0	2.0	1.0	12.0	19.0	4.0
6.0	4	2.5	5.0	5.0	2.0	1.0	15.0	19.0	17.0
32.0	7	2.5	8.0	4.0	2.0	1.0	13.0	19.0	15.0
10.0	4	2.5	5.0	5.0	2.0	0.0	12.0	19.0	15.0
10.0	4	2.5	6.0	4.0	2.0	1.0	20.0	19.0	17.0
12.0	6	2.5	2.5	2.5	2.0	0.0	20.0	19.0	15.0
